                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7892,                 10.227,                 4.3073,                      0,                      0,                      0,                      0,                 6.0945,                  5.923,                 4.1634,             0.00017148,             0.00017148,             0.00017148
                      2,                 5.1231,                 8.2374,                 4.1438,                      0,                      0,                      0,                      0,                 6.1072,                 5.9696,                 4.1784,             0.00035371,             0.00035371,             0.00035371
                      3,                 4.4908,                 6.7667,                 3.8498,                      0,                      0,                      0,                      0,                 6.1541,                 6.1471,                 4.2502,             0.00053227,             0.00053227,             0.00053227
                      4,                 3.5318,                  5.197,                 3.3869,                      0,                      0,                      0,                      0,                 6.2332,                 6.4159,                 4.3799,             0.00070714,             0.00070714,             0.00070714
                      5,                 3.2735,                 4.1987,                 2.8488,                      0,                      0,                      0,                      0,                 6.2981,                  6.637,                 4.4889,             0.00087834,             0.00087834,             0.00087834
                      6,                 3.1661,                 3.8052,                 2.5398,                      0,                      0,                      0,                      0,                 6.3705,                 6.9822,                 4.6497,              0.0010459,              0.0010459,              0.0010459
                      7,                 2.8842,                 3.5906,                 2.2815,                      0,                      0,                      0,                      0,                 6.3614,                 6.9984,                   4.63,              0.0012097,              0.0012097,              0.0012097
                      8,                  2.769,                  3.279,                 2.1103,                      0,                      0,                      0,                      0,                  6.206,                 6.5934,                 4.3275,                0.00133,                0.00133,                0.00133
                      9,                 2.6947,                 3.3017,                 2.0523,                      0,                      0,                      0,                      0,                 6.0142,                 6.2104,                 4.0719,              0.0013158,              0.0013158,              0.0013158
                     10,                 2.6992,                 3.0123,                 1.9879,                0.00011,                0.00375,                0.00061,                  7e-05,                 5.6327,                  6.871,                  3.945,              0.0013017,              0.0013017,              0.0013017
                     11,                  2.518,                 2.7356,                 1.8293,                0.35333,                0.00389,                0.00239,                0.00067,                 3.6486,                 5.4817,                 3.0072,              0.0012875,              0.0012875,              0.0012875
                     12,                 2.4282,                 2.7313,                 1.7249,                0.55353,                0.19184,                0.13079,                0.04374,                 2.6397,                 3.2509,                 1.9163,              0.0012734,              0.0012734,              0.0012734
                     13,                 2.3329,                 2.5242,                 1.6546,                  0.534,                0.27524,                 0.1956,                0.06917,                 2.4573,                 2.8179,                 1.7327,              0.0012592,              0.0012592,              0.0012592
                     14,                 2.3096,                 2.4634,                 1.6336,                0.55045,                0.34366,                0.24063,                0.10019,                 2.2588,                  2.515,                 1.6138,              0.0012451,              0.0012451,              0.0012451
                     15,                 2.2534,                 2.3428,                 1.5653,                0.57704,                0.34969,                0.27542,                0.10004,                 2.2711,                 2.2291,                 1.5744,              0.0012309,              0.0012309,              0.0012309
                     16,                 2.2234,                  2.228,                 1.5606,                0.56065,                0.26767,                0.24179,                0.08305,                 2.3404,                 2.2349,                 1.6137,              0.0012168,              0.0012168,              0.0012168
                     17,                 2.1553,                 2.1708,                 1.5565,                0.63195,                0.35932,                0.31294,                0.13889,                 2.2087,                 1.9011,                 1.5199,              0.0012026,              0.0012026,              0.0012026
                     18,                 2.1117,                 2.1008,                 1.4901,                0.65991,                0.38692,                0.35402,                0.16905,                 1.9829,                 1.7138,                 1.4191,              0.0011885,              0.0011885,              0.0011885
                     19,                  2.045,                 2.0264,                 1.4922,                0.67906,                0.40291,                0.38188,                0.15928,                 2.1625,                 1.7733,                  1.489,              0.0011744,              0.0011744,              0.0011744
                     20,                 2.1077,                 1.9862,                 1.4414,                0.69249,                0.38405,                0.36039,                0.16842,                 2.0428,                 1.8832,                 1.4857,              0.0011602,              0.0011602,              0.0011602
                     21,                  2.029,                 1.8855,                 1.4276,                0.76377,                0.42125,                 0.4633,                0.23348,                 1.8425,                 1.4671,                 1.3742,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.9762,                 1.8061,                 1.3975,                0.36479,                 0.4439,                 0.3898,                0.18891,                 1.8248,                 1.6351,                 1.3569,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.9796,                 1.7642,                 1.4174,                0.46637,                0.42771,                0.42347,                 0.2039,                 1.8736,                 1.5814,                 1.3357,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.8577,                 1.6535,                 1.3482,                0.61692,                0.39166,                 0.3676,                0.15825,                 1.9205,                 1.7103,                 1.3811,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.9073,                 1.6207,                 1.3826,                0.46651,                0.49324,                0.42502,                0.18627,                  1.929,                  1.737,                  1.379,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.8699,                 1.5214,                  1.341,                0.50227,                 0.4208,                0.42785,                0.20329,                 1.8697,                 1.9043,                 1.3866,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.8593,                 1.4381,                 1.2874,                0.54185,                0.57238,                0.51903,                0.22102,                 2.0062,                 1.5496,                 1.3526,              0.0010612,              0.0010612,              0.0010612
                     28,                   1.86,                 1.4121,                  1.285,                0.71969,                0.65476,                0.68821,                0.35438,                 1.7598,                 1.2086,                 1.2621,               0.001047,               0.001047,               0.001047
                     29,                 1.8169,                 1.3499,                  1.274,                0.74701,                0.64459,                0.69336,                0.35307,                 1.7151,                 1.2508,                 1.2635,              0.0010329,              0.0010329,              0.0010329
                     30,                  1.843,                 1.3547,                  1.286,                0.69232,                0.65207,                0.68812,                0.33809,                 1.7479,                  1.195,                 1.2553,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.7582,                 1.3036,                 1.2667,                0.69093,                0.64092,                0.70716,                0.36919,                 1.6619,                 1.2503,                 1.2091,              0.0010046,              0.0010046,              0.0010046
                     32,                  1.715,                 1.2651,                 1.2185,                0.67557,                0.68268,                0.70153,                0.34254,                 1.7102,                 1.1486,                  1.232,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.7201,                 1.3079,                 1.2123,                0.75703,                0.66849,                0.71238,                0.35711,                 1.6505,                 1.2086,                 1.2084,             0.00097629,             0.00097629,             0.00097629
                     34,                  1.676,                 1.2571,                 1.2151,                0.78383,                0.75407,                0.76153,                0.39992,                 1.6591,                 1.0589,                 1.2069,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.6718,                 1.2174,                 1.2019,                0.79445,                0.71808,                0.76054,                0.41437,                 1.5404,                 1.0189,                 1.1855,               0.000948,               0.000948,               0.000948
                     36,                 1.6503,                 1.1907,                 1.1917,                0.73369,                0.64275,                0.69983,                0.36252,                 1.6303,                 1.1699,                 1.1942,             0.00093385,             0.00093385,             0.00093385
