                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3872,                  4.727,                 4.2813,                 0.0005,                0.03524,                0.00036,                  9e-05,                 3.4115,                 4.7268,                 4.1875,             0.00025206,             0.00025206,             0.00025206
                      2,                 3.0714,                 3.6463,                 3.6105,                 0.0008,                0.03111,                0.00048,                0.00011,                 3.4928,                 5.2831,                 4.3998,             0.00050336,             0.00050336,             0.00050336
                      3,                 2.7383,                 3.1823,                 3.0892,                0.44793,                0.09187,                0.08422,                0.03494,                 2.5028,                  3.078,                 3.0973,             0.00074959,             0.00074959,             0.00074959
                      4,                  2.483,                 2.8107,                 2.7613,                0.42943,                0.24873,                0.18512,                0.07935,                 2.3483,                 2.5738,                 2.6366,             0.00074616,             0.00074616,             0.00074616
                      5,                 2.2538,                 2.8602,                  2.534,                0.57366,                0.24872,                0.18281,                 0.0793,                 2.0562,                 2.3801,                 2.4708,             0.00073855,             0.00073855,             0.00073855
                      6,                  2.144,                 2.7264,                 2.4117,                0.57758,                0.21152,                0.16506,                0.07002,                 2.1621,                 2.6055,                 2.4508,             0.00073093,             0.00073093,             0.00073093
                      7,                 2.0291,                 2.3499,                 2.3126,                0.43747,                0.35778,                0.26503,                0.12545,                 1.9704,                 2.1801,                 2.2468,             0.00072332,             0.00072332,             0.00072332
                      8,                 1.9633,                 2.1994,                 2.1968,                0.48451,                0.37049,                0.32875,                0.17727,                 1.7474,                 1.9264,                 2.0402,             0.00071571,             0.00071571,             0.00071571
                      9,                 1.9245,                 2.1037,                 2.1484,                0.53219,                0.34908,                 0.3462,                0.19778,                 1.6885,                 1.7811,                 2.0219,              0.0007081,              0.0007081,              0.0007081
                     10,                 1.8643,                 1.9607,                 2.0594,                0.53932,                0.43065,                0.36464,                0.20593,                 1.6351,                 1.7155,                 1.9377,             0.00070048,             0.00070048,             0.00070048
                     11,                 1.7657,                 1.8821,                 1.9932,                0.74534,                0.37711,                0.40584,                0.22777,                 1.6019,                 1.6363,                 1.8652,             0.00069287,             0.00069287,             0.00069287
                     12,                 1.7282,                 1.7996,                 1.9329,                0.56177,                0.45362,                0.40992,                0.24177,                   1.58,                 1.5852,                 1.8712,             0.00068526,             0.00068526,             0.00068526
                     13,                 1.6473,                 1.7226,                 1.8773,                0.53401,                 0.4789,                0.44906,                0.27124,                 1.4691,                 1.5374,                 1.7408,             0.00067764,             0.00067764,             0.00067764
                     14,                 1.6349,                 1.6723,                 1.8516,                0.62102,                0.44187,                0.45211,                0.27961,                 1.4325,                 1.4132,                 1.7187,             0.00067003,             0.00067003,             0.00067003
                     15,                 1.5527,                 1.5969,                 1.7972,                 0.6356,                0.48668,                0.49925,                0.31154,                 1.4033,                 1.3532,                   1.69,             0.00066242,             0.00066242,             0.00066242
                     16,                 1.5367,                 1.5586,                 1.7772,                0.65802,                0.47994,                0.50199,                0.31475,                 1.3767,                 1.3504,                 1.6491,              0.0006548,              0.0006548,              0.0006548
                     17,                  1.515,                 1.5163,                 1.7335,                0.64679,                0.48448,                0.51144,                0.30768,                 1.4132,                 1.4197,                 1.6872,             0.00064719,             0.00064719,             0.00064719
                     18,                 1.4871,                 1.4735,                 1.7171,                0.71503,                 0.5058,                0.55028,                 0.3607,                 1.3244,                 1.2857,                 1.5822,             0.00063958,             0.00063958,             0.00063958
                     19,                 1.4609,                 1.4374,                 1.6792,                0.72267,                0.52512,                0.57508,                0.37679,                 1.2462,                 1.2448,                 1.5301,             0.00063196,             0.00063196,             0.00063196
                     20,                 1.4349,                 1.4202,                 1.6753,                0.68505,                0.51246,                0.55674,                0.35773,                 1.2527,                 1.2079,                 1.5413,             0.00062435,             0.00062435,             0.00062435
                     21,                 1.4128,                 1.3837,                 1.6483,                 0.7596,                0.49077,                0.59282,                0.37589,                 1.3498,                 1.2645,                 1.6087,             0.00061674,             0.00061674,             0.00061674
                     22,                 1.3914,                 1.3489,                  1.633,                 0.7805,                0.53491,                0.63529,                0.43064,                 1.1681,                 1.1206,                 1.4521,             0.00060912,             0.00060912,             0.00060912
                     23,                 1.3762,                 1.2991,                 1.6158,                0.76476,                0.54084,                0.63881,                0.42325,                 1.2385,                 1.1137,                 1.5146,             0.00060151,             0.00060151,             0.00060151
                     24,                 1.3343,                 1.3082,                 1.5892,                0.74087,                0.56208,                0.62605,                0.40082,                 1.2092,                 1.1283,                 1.4789,              0.0005939,              0.0005939,              0.0005939
