                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.7892,                 10.227,                 4.3073,                      0,                      0,                      0,                      0,                 6.0945,                  5.923,                 4.1634,             0.00017148,             0.00017148,             0.00017148
                      2,                 5.2428,                 8.3405,                 4.1854,                      0,                      0,                      0,                      0,                 6.1042,                 5.9564,                 4.1763,             0.00023936,             0.00023936,             0.00023936
                      3,                 4.9574,                 8.0395,                 4.0635,                      0,                      0,                      0,                      0,                 6.1247,                  6.035,                 4.2057,             0.00018463,             0.00018463,             0.00018463
