                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3154,                 1.1526,                0.98295,                0.87193,                0.65972,                0.83275,                 0.5104,                 1.6404,                 2.0301,                 1.0188,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.3129,                 1.1015,                0.99379,                0.87878,                0.70785,                0.83138,                0.50742,                  1.612,                 1.9925,                 1.0219,               0.000948,               0.000948,               0.000948
                     36,                 1.2356,                 1.2616,                 1.0263,                 0.8757,                0.70617,                0.82344,                0.49987,                 1.6242,                 1.9217,                 1.0429,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.3478,                 1.2318,                 1.0594,                 0.8757,                0.70617,                0.82344,                0.49987,                 1.6242,                 1.9217,                 1.0429,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.2069,                  1.059,                0.95891,                0.87209,                0.63102,                0.82776,                0.53514,                 1.5269,                 1.7919,                 1.0145,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.5436,                 1.1172,                 1.0219,                0.87696,                0.60166,                0.80418,                0.51626,                 1.4554,                 1.7555,                 1.0039,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.2046,                 1.1913,                0.95779,                0.82868,                0.62975,                 0.8068,                0.50041,                 1.4725,                 1.5461,                 1.0283,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.2341,                 1.0101,                0.98355,                0.82868,                0.62975,                 0.8068,                0.50041,                 1.4725,                 1.5461,                 1.0283,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.1608,                 1.1344,                 1.0139,                0.84538,                0.70299,                0.84613,                0.52995,                 1.4522,                 1.3712,                 1.0281,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.1974,                 1.1712,                 1.0099,                0.83571,                0.70539,                0.85471,                0.54103,                 1.3331,                 1.4575,                 0.9954,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.1999,                  1.027,                0.95415,                0.78217,                0.72925,                0.85636,                  0.559,                 1.2462,                 1.5875,                0.95379,             0.00082067,             0.00082067,             0.00082067
                     45,                  1.322,                  1.108,                  1.011,                0.78217,                0.72925,                0.85636,                  0.559,                 1.2462,                 1.5875,                0.95379,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.1673,                 0.9618,                0.93423,                0.80551,                0.76057,                0.84805,                 0.5603,                  1.259,                 1.5576,                0.93786,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.1674,                 1.0546,                0.92089,                0.82132,                0.80235,                0.86857,                0.56746,                 1.3326,                 1.2938,                  0.955,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.1153,                0.96266,                0.91528,                0.78182,                0.81416,                0.89076,                0.59052,                 1.2712,                 1.0452,                0.96202,             0.00076409,             0.00076409,             0.00076409
